Level of Sociality,Degree of floral specialization ,Habitat floral host,bee species,bee genus/species,Date bee captured and installed in bioassay unit (Julian day),bee sex,Imidacloprid concentration (parts per billion),bee longevity in bioassay (days),days paralyzed,days active,% of days bee is paralyzed
SOLITARY,OLIGOLECTIC,SUNFLOWER,Andrena accepta,ANDRENA,277,F,20,5,0,5,0
SOLITARY,OLIGOLECTIC,SUNFLOWER,Andrena accepta,ANDRENA,279,F,100,3,3,0,100
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,0,1,0,1,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,0,3,0,3,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,0,4,0,3,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,0,5,1,4,20
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,0,8,0,8,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,0,8,0,8,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,0,10,0,10,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,0,11,0,11,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,5,5,2,3,40
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,5,8,3,5,38
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,5,10,3,7,30
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,5,10,4,6,40
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,5,11,0,11,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,5,13,1,12,8
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,5,13,5,8,38
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,5,15,0,15,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,20,13,10,3,77
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,20,13,2,11,15
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,20,15,4,11,27
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,20,15,4,11,27
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,20,15,9,6,60
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,20,15,8,7,53
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,20,15,5,10,33
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,20,15,12,3,80
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,100,2,2,0,100
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,100,4,0,4,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,100,7,2,5,29
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,100,7,3,4,43
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,100,11,10,1,91
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,100,14,13,1,93
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,100,15,10,5,67
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,337,F,100,15,11,4,73
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,0,8,0,8,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,0,15,0,15,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,0,15,0,15,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,0,15,0,15,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,5,8,0,8,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,5,8,0,8,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,5,9,0,9,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,5,15,0,15,0
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,20,14,3,11,21
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,20,14,3,11,21
SOLITARY,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,20,15,3,12,20
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,20,15,2,13,13
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,100,1,0,1,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,100,13,8,5,62
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,100,14,5,9,36
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,363,F,100,15,4,11,27
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,81,F,0,6,0,6,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,81,F,0,9,0,9,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,81,F,0,11,0,11,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,81,F,0,13,0,13,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,81,F,0,15,0,15,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,81,F,0,19,0,19,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,81,F,5,3,0,3,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,81,F,5,4,0,4,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,81,F,5,6,0,6,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,81,F,5,12,0,12,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,81,F,5,12,0,12,0
SOCIAL,POLYLECTIC,HIVE,Apis mellifera,APIS,81,F,5,15,0,15,0
