Date,Time,Temperature,Wind
01-Jan-2008,0:00,20.6,4.6
01-Jan-2008,1:00,19.8,3.4
01-Jan-2008,2:00,18.4,2.9
01-Jan-2008,3:00,12.2,0.5
01-Jan-2008,4:00,8.8,0.1
01-Jan-2008,5:00,9.1,1.8
01-Jan-2008,6:00,10.7,1
01-Jan-2008,7:00,6.7,0.7
01-Jan-2008,8:00,4.1,0.7
01-Jan-2008,9:00,11.4,2.2
01-Jan-2008,10:00,16.4,3.3
01-Jan-2008,11:00,21.5,2.2
01-Jan-2008,12:00,24.3,5.1
01-Jan-2008,13:00,25,3.6
01-Jan-2008,14:00,27.5,2.8
01-Jan-2008,15:00,25.8,4.2
01-Jan-2008,16:00,23,3.9
01-Jan-2008,17:00,19.7,3.4
01-Jan-2008,18:00,16.7,1.8
01-Jan-2008,19:00,13.1,0.3
01-Jan-2008,20:00,10.3,0.6
01-Jan-2008,21:00,8.3,1.2
01-Jan-2008,22:00,6.5,0.5
01-Jan-2008,23:00,5.1,0.4
02-Jan-2008,0:00,4.7,0.6
02-Jan-2008,1:00,3.1,0.4
02-Jan-2008,2:00,2.3,0.5
02-Jan-2008,3:00,2.9,0.2
02-Jan-2008,4:00,2.9,0.1
02-Jan-2008,5:00,2.3,0.5
02-Jan-2008,6:00,2.2,0
02-Jan-2008,7:00,2.8,0.3
02-Jan-2008,8:00,4.1,0.2
02-Jan-2008,9:00,10.9,0.2
02-Jan-2008,10:00,18.6,1.4
02-Jan-2008,11:00,23.4,2.2
02-Jan-2008,12:00,28,2.5
02-Jan-2008,13:00,32.2,2.3
02-Jan-2008,14:00,35,1.6
02-Jan-2008,15:00,34.3,3.2
02-Jan-2008,16:00,28.9,3.5
02-Jan-2008,17:00,24.8,2.8
02-Jan-2008,18:00,21.1,2.6
02-Jan-2008,19:00,19.6,0.8
02-Jan-2008,20:00,19,1.1
02-Jan-2008,21:00,18.8,0.8
02-Jan-2008,22:00,18.7,0.7
02-Jan-2008,23:00,18.9,0.6
03-Jan-2008,0:00,19.1,1
03-Jan-2008,1:00,20.2,0.8
03-Jan-2008,2:00,20.6,0.8
03-Jan-2008,3:00,23.4,2.5
03-Jan-2008,4:00,25.1,1.7
03-Jan-2008,5:00,24.7,0.8
03-Jan-2008,6:00,23.9,0.8
03-Jan-2008,7:00,23.7,0.5
03-Jan-2008,8:00,25.3,1.3
03-Jan-2008,9:00,27.7,1.3
03-Jan-2008,10:00,29.8,1.3
03-Jan-2008,11:00,32.8,1.1
03-Jan-2008,12:00,36.1,0.8
03-Jan-2008,13:00,38,1.8
03-Jan-2008,14:00,39.4,1.5
03-Jan-2008,15:00,38.3,1.3
03-Jan-2008,16:00,36.3,1.3
03-Jan-2008,17:00,34.7,0.8
03-Jan-2008,18:00,29.8,1.1
03-Jan-2008,19:00,26.2,0.9
03-Jan-2008,20:00,25.4,1.3
03-Jan-2008,21:00,25.7,1.5
03-Jan-2008,22:00,27.3,1.4
03-Jan-2008,23:00,28.4,1.7
04-Jan-2008,0:00,28.7,1.3
04-Jan-2008,1:00,29.2,2.1
04-Jan-2008,2:00,29.5,1.4
04-Jan-2008,3:00,31,2.1
04-Jan-2008,4:00,32.1,2.6
