wgi_glacier_id,political_unit,continent_code,glacier_name,latitude,longitude,mean_elev (m),form,source_nourish,total_area (km²)
AF5Q112B0009,AF,5,,34.807,68.891,3925,3,0,0.53
AF5Q112C0025,AF,5,,35.438,69.552,4540,5,0,0.34
AF5Q112C0085,AF,5,,35.869,70.224,4700,2,0,0.59
AF5Q112C0146,AF,5,,35.458,70.023,4113,3,0,0.2
AF5Q112C0151,AF,5,,35.409,69.959,4550,3,0,0.28
AF5Q112C0242,AF,5,,35.184,69.625,4525,3,0,0.13
AF5X14005008,AF,5,,38.007,70.738,4000,8,0,0.25
AF5X14005043,AF,5,,37.903,70.969,3900,3,0,5.5
AF5X14005081,AF,5,,37.773,70.835,4000,2,0,3.25
AF5X14006007,AF,5,,38.272,70.738,4140,4,0,0.84
AF5X14007001,AF,5,,38.283,71.167,4080,3,0,0.5
AF5X14007039,AF,5,,38.142,70.936,4100,4,0,0.75
AF5X14008027,AF,5,,38.102,71.241,3850,5,0,0.19
AR1I0111B009,AR,1,DOMUYO    I,-36.615,-70.437,4100,5,1,0.04
AR1J1011A019,AR,1,CO PIRAMIDE G,-36.331,-70.503,2700,8,1,0.08
AR1L73100004,AR,1,SCHWEITZER B,-41.185,-71.603,2000,4,1,0.29
AR1L73100018,AR,1,VURILOCHES B,-41.207,-71.867,1875,4,1,0.22
AR1L73200045,AR,1,CERRO ANEXO B,-42.35,-71.742,2000,5,1,0.07
AT4J131IS022,AT,4,,46.975,12.362,2770,4,0,0.12
AT4J131IS067,AT,4,KRISTALLWAND,47.093,12.408,2880,4,1,0.35
AT4J131IS085,AT,4,GSCHLOESS E,47.148,12.438,2850,0,1,0.09
AT4J131LI005,AT,4,,46.96,13.342,2700,4,1,0.02
AT4J143FA006,AT,4,OB.VERPEIL,47.007,10.803,3100,0,0,0.1
AT4J143OE078,AT,4,,46.828,10.963,3140,4,0,0.12
AT4J143OE120,AT,4,KREUZ S,46.803,10.847,3090,4,1,0.84
AT4J143PI023,AT,4,VO.EISKA.TOTEIS,46.93,10.8,2870,9,2,0.05
AT4J143PI040,AT,4,SEEBACH,47.012,10.815,2780,4,0,0.23
AT4J143SA013,AT,4,GRUBENKAR,47.068,13.24,2650,0,1,0.75
AT4J143SA040,AT,4,WEISSENBACH,47.085,12.905,2800,0,1,1.23
AT4J143SA062,AT,4,HIRZBACH UN.,47.195,12.762,2480,0,2,0.04
AT4J143SA066,AT,4,WIELINGER,47.165,12.753,2940,0,1,0.98
AT4J143SA102,AT,4,RABEN W,47.147,12.592,2640,0,2,0.09
AT4J143SA126,AT,4,,47.16,12.297,2680,4,1,0.16
AT4J143SA128,AT,4,,47.135,12.318,3030,0,1,0.38
AT4J143SN002,AT,4,,47.022,10.463,2790,4,0,0.02
AT4J143SN040,AT,4,KARTELL,47.053,10.282,2740,4,1,0.3
AT4J143ZI019,AT,4,,47.122,12.11,2820,4,1,0.05
AT4J143ZI037,AT,4,RIBLER,47.092,12.027,2760,4,1,0.14
AT4J143ZI039,AT,4,,47.065,12.035,2890,0,1,0.13
AT4J143ZI059,AT,4,LOEFFLER,47.04,11.923,2600,4,0,1.12
AT4J143ZI083,AT,4,REISCHBERG,47.013,11.76,2890,4,0,0.07
AT4J143ZI085,AT,4,,47.005,11.772,2890,4,1,0.07
BO1D22124351,BO,1,,-14.917,-69.113,5046,0,0,0.23
BO1D22125011,BO,1,,-14.825,-69.022,4676,0,0,0.01
BO1D22125025,BO,1,,-14.868,-69.089,4901,0,0,0.27
BO1D22125048,BO,1,,-14.838,-69.133,4782,0,0,0.03
BO1D22142321,BO,1,,-15.835,-68.568,5250,0,0,0.04
BO1D22142338,BO,1,,-15.882,-68.563,5203,0,0,0.13
BO1D22152130,BO,1,,-15.863,-68.426,5286,0,0,0.4
BO1D22182101,BO,1,,-16.93,-67.316,4803,0,0,0.01
BO1O0A121112,BO,1,,-15.87,-68.545,5508,0,0,1.48
BT5O205C0047,BT,5,Shinchula Glacier,28.091,89.556,5376,2,2,8.089
BT5O205D0018,BT,5,,27.961,89.941,5140,3,1,0.23
BT5O205D0109,BT,5,,27.965,90.097,5350,0,1,0.616
BT5O205D0148,BT,5,,27.898,90.222,5254,7,1,0.107
BT5O207AA108,BT,5,,27.943,90.421,5265,3,1,0.088
BT5O207AB005,BT,5,,27.903,90.573,5110,3,1,0.099
BT5O207AB028,BT,5,,28.028,90.573,5450,3,1,0.763
BT5O207AB084,BT,5,,27.925,90.735,5178,0,1,0.381
BT5O207BA010,BT,5,,28.007,90.82,5130,5,1,0.3
BT5O207BD001,BT,5,,28.064,91.224,4900,9,0,0.06
CA2M001CB052,CA,2,,49.588,-125.394,1829,7,1,3
